row_type,method_id,preset,backend,fit_mode,truth_data_used,trajectory_model_weighted_score_0_100,trajectory_model_interpretation,segment_trajectory_score_0_100,event_aware_join_score_0_100,hard_gap_honesty_score_0_100,locality_scope_score_0_100,mean_position_score_0_100,mean_velocity_evidence_score_0_100,mean_fd_kinematics_score_0_100,mean_smoothness_score_0_100,mean_plausibility_score_0_100,mean_detail_score_0_100,mean_derivative_closure_score_0_100,hard_gap_count,bridged_gap_count,bridge_frame_count,normal_join_count,normal_max_acceleration_jump_mps2,normal_max_jerk_jump_mps3,locality_note,segment_id,component_id,regime_label,trajectory_regime_bucket,t0,t1,n_observations,trajectory_model_score_0_100,position_score_0_100,velocity_evidence_score_0_100,fd_kinematics_score_0_100,smoothness_score_0_100,plausibility_score_0_100,detail_score_0_100,derivative_closure_score_0_100,velocity_weighted_rmse_3d_mps,fd_velocity_rmse_3d_mps,track_angle_median_error_deg,jerk_per_speed_rms_1_s2,snap_proxy_rms_mps4,turn_rate_p95_deg_s,velocity_detail_retention_ratio
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0036,comp_0001,level_decel__turn_left_slow,airborne,1766852947.0,1766852996.0,35,96.87189215217167,96.76698022304464,100.0,82.87409078378938,100.0,100.0,100.0,100.0,4.47401590057944,26.36296988530709,0.7952617964339722,0.0011322269754580805,0.01598379519065168,1.569050775072404,0.7273171534313162
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0037,comp_0001,energy_constant,airborne,1766852996.0,1766853063.0,64,87.6795821852552,99.99740310840419,100.0,85.15839612619983,100.0,100.0,0.5455043205471086,100.0,1.6450718767763555,24.320381511161166,0.8688824450939394,0.0003015097421905598,0.005182998710429864,0.024338407005062238,0.0814728616654772
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0038,comp_0001,level_accel__turn_left_slow,airborne,1766853063.0,1766853403.0,316,97.56347982567836,100.0,100.0,84.7717489104896,100.0,100.0,100.0,100.0,5.763262898751003,24.671989977937354,0.760646163312632,0.0012701257538820854,0.022098074503874538,2.382629394839779,0.9763798863878874
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0039,comp_0001,energy_constant,airborne,1766853403.0,1766853419.0,17,86.84439073311005,100.0,100.0,80.27744208193769,100.0,100.0,0.0,100.0,0.8239825040484922,28.64807312768293,0.5737243240716496,0.000406202071515151,0.008388129464707227,0.04437030995139577,0.02550069229761754
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0040,comp_0001,descent,approach_final,1766853419.0,1766853472.0,54,87.57521322341455,100.0,100.0,84.84508264634086,100.0,100.0,0.0,100.0,1.0575227511090186,24.6534285631362,0.47921811266239694,0.00036423129184729635,0.007962081435383156,0.10056217671439305,0.05984344468491946
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0041,comp_0001,descent__turn_left_slow,approach_final,1766853472.0,1766853547.0,61,94.25348871743736,89.31054033659566,100.0,72.10139923153669,100.0,100.0,100.0,100.0,6.240611230919249,35.93040419739832,0.9310489204320774,0.001293380665357008,0.015112419975699315,1.977063897061757,0.8903794644422266
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0042,comp_0001,descent,approach_final,1766853547.0,1766853624.0,74,88.67379253499233,95.5907318947843,100.0,74.84213400383089,100.0,100.0,32.28163267005259,100.0,1.580979662349755,33.32795170202164,0.5541684048725656,0.00020414749352203136,0.00522581276247494,0.09039007011829944,0.16716040820914196
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0043,comp_0001,descent__turn_left_slow,approach_final,1766853624.0,1766853690.0,63,92.88353662130578,65.59110665231644,100.0,81.32877389392367,100.0,100.0,100.0,100.0,7.632255736215555,27.771241977578843,1.841173086948365,0.0012627193270781528,0.015493952945140221,1.8459008730859514,0.831337967236947
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0044,comp_0001,descent,approach_final,1766853690.0,1766853730.0,41,86.76954761121735,91.17100061863052,100.0,86.43142210613546,100.0,100.0,0.0,100.0,1.6948092457631576,23.26417519819715,0.463997311735016,0.00023647459447544882,0.004448371638560423,0.09753912846438845,0.040470816781491795
segment,bea_v_spline_balanced,balanced,bea_v_spline,,False,,,,,,,,,,,,,,,,,,,,,comp_0001_seg_0045,comp_0001,descent__turn_left_slow,approach_final,1766853730.0,1766853807.0,67,97.26950519837682,92.30665079075246,100.0,88.70441939679073,100.0,100.0,100.0,100.0,6.1739026449714425,21.25134368535625,2.2946458715442306,0.0018656066962695885,0.02772488944749529,2.20367344753905,0.9033663843570663
